company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd,id
"/company/aimwith",AimWith,,USA,CA,SF Bay,San Francisco,/financial-organization/drm-ventures,DR�M VENTURES,,USA,CA,SF Bay,San Mateo,angel,9/4/13,2013-09,2013-Q3,2013.0,5000.0,23429
"/company/adioso",Adioso,travel,USA,CA,SF Bay,San Francisco,/company/y-combinator,Y Combinator,finance,USA,CA,SF Bay,Mountain View,angel,1/1/09,2009-01,2009-Q1,2009.0,15000.0,6083
"/company/airbnb",Airbnb,travel,USA,CA,SF Bay,San Francisco,/company/y-combinator,Y Combinator,finance,USA,CA,SF Bay,Mountain View,angel,1/1/09,2009-01,2009-Q1,2009.0,20000.0,6034
"/company/advice-wallet",Advice Wallet,mobile,USA,CA,SF Bay,San Francisco,/person/pavel-melnyk,Pavel Melnyk,,,,unknown,,angel,2/21/13,2013-02,2013-Q1,2013.0,25000.0,80208
"/company/allvoices",Allvoices,news,USA,CA,SF Bay,San Francisco,/financial-organization/vantagepoint-capital-partners,VantagePoint Capital Partners,,USA,CA,SF Bay,San Bruno,series-a,7/31/06,2006-07,2006-Q3,2006.0,51068.0,66746
"/company/atooma",Atooma,mobile,USA,CA,SF Bay,San Francisco,/person/marco-marinucci,Marco Marinucci,,,,unknown,,angel,1/1/13,2013-01,2013-Q1,2013.0,65000.0,78180
"/company/adioso",Adioso,travel,USA,CA,SF Bay,San Francisco,/person/paul-buchheit,Paul Buchheit,,,,unknown,,angel,3/1/09,2009-03,2009-Q1,2009.0,70000.0,80077
"/company/adioso",Adioso,travel,USA,CA,SF Bay,San Francisco,/person/steve-huffman,Steve Huffman,,,,unknown,,angel,3/1/09,2009-03,2009-Q1,2009.0,70000.0,82508
"/company/adioso",Adioso,travel,USA,CA,SF Bay,San Francisco,/person/wayne-crosby,Wayne Crosby,,,,unknown,,angel,3/1/09,2009-03,2009-Q1,2009.0,70000.0,83575
"/company/adioso",Adioso,travel,USA,CA,SF Bay,San Francisco,/person/alexis-ohanian,Alexis Ohanian,,,,unknown,,angel,3/1/09,2009-03,2009-Q1,2009.0,70000.0,70483
"/company/adioso",Adioso,travel,USA,CA,SF Bay,San Francisco,/person/chris-nokleburg,Chris Nokleburg,,,,unknown,,angel,3/1/09,2009-03,2009-Q1,2009.0,70000.0,72352
"/company/adioso",Adioso,travel,USA,CA,SF Bay,San Francisco,/person/tim-cederman-haysom,Tim Cederman-Haysom,,,,unknown,,angel,3/1/09,2009-03,2009-Q1,2009.0,70000.0,82900
"/company/adioso",Adioso,travel,USA,CA,SF Bay,San Francisco,/person/robby-walker,Robby Walker,,,,unknown,,angel,3/1/09,2009-03,2009-Q1,2009.0,70000.0,81137
"/company/advice-wallet",Advice Wallet,mobile,USA,CA,SF Bay,San Francisco,/company/happy-farm,Happy Farm,consulting,UKR,,Schaslyve,Schaslyve,angel,11/1/12,2012-11,2012-Q4,2012.0,70000.0,2261
"/company/adstage",AdStage,advertising,USA,CA,SF Bay,San Francisco,/person/david-sacks,David Sacks,,,,unknown,,angel,6/21/13,2013-06,2013-Q2,2013.0,100000.0,73369
"/company/atooma",Atooma,mobile,USA,CA,SF Bay,San Francisco,/person/stefano-zoccatelli-francescao-starace,Stefano Zoccatelli & Francescao Starace,,,,unknown,,angel,3/10/13,2013-03,2013-Q1,2013.0,100000.0,82392
"/company/anapsis",Anapsis,analytics,USA,CA,SF Bay,San Francisco,/company/rock-health,Rock Health,health,USA,CA,SF Bay,San Francisco,angel,6/1/13,2013-06,2013-Q2,2013.0,100000.0,4094
"/company/augmedix",Augmedix,health,USA,,SF Bay,San Francisco,/company/rock-health,Rock Health,health,USA,CA,SF Bay,San Francisco,angel,7/1/13,2013-07,2013-Q3,2013.0,100000.0,4100
"/company/adstage",AdStage,advertising,USA,CA,SF Bay,San Francisco,/person/jason-calacanis,Jason Calacanis,,,,unknown,,angel,6/21/13,2013-06,2013-Q2,2013.0,100000.0,75779
"/company/apiary",Apiary,software,USA,CA,SF Bay,San Francisco,/person/esther-dyson,Esther Dyson,,,,unknown,,angel,12/23/11,2011-12,2011-Q4,2011.0,120000.0,74303
"/company/apiary",Apiary,software,USA,CA,SF Bay,San Francisco,/person/neil-davidson,Neil Davidson,,,,unknown,,angel,12/23/11,2011-12,2011-Q4,2011.0,120000.0,79558
"/company/atooma",Atooma,mobile,USA,CA,SF Bay,San Francisco,/financial-organization/zernike-meta-ventures,Zernike Meta Ventures,,,,unknown,,angel,3/5/12,2012-03,2012-Q1,2012.0,132200.0,69967
"/company/appiphany",Appiphany,mobile,USA,CA,SF Bay,San Francisco,/person/fahad-al-saud,Fahad Al-Saud,,,,unknown,,angel,7/1/12,2012-07,2012-Q3,2012.0,200000.0,74393
"/company/ark",Ark,search,USA,CA,SF Bay,San Francisco,/person/stuart-hunter,Stuart Hunter,,,,unknown,,angel,11/1/11,2011-11,2011-Q4,2011.0,250000.0,82608
"/company/animated-speech",Animated Speech,software,USA,CA,SF Bay,San Francisco,/financial-organization/keiretsu-forum,Keiretsu Forum,,USA,CA,SF Bay,San Francisco,series-c+,1/22/07,2007-01,2007-Q1,2007.0,250000.0,39017
"/company/ark",Ark,search,USA,CA,SF Bay,San Francisco,/person/yuri-milner,Yuri Milner,,,,unknown,,angel,11/1/11,2011-11,2011-Q4,2011.0,250000.0,83781
"/company/ark",Ark,search,USA,CA,SF Bay,San Francisco,/person/brian-coote,Brian Coote,,,,unknown,,angel,11/1/11,2011-11,2011-Q4,2011.0,250000.0,71854
"/company/ark",Ark,search,USA,CA,SF Bay,San Francisco,/person/michael-schmidt,Michael Schmidt,,,,unknown,,angel,11/1/11,2011-11,2011-Q4,2011.0,250000.0,79088
"/company/animated-speech",Animated Speech,software,USA,CA,SF Bay,San Francisco,/financial-organization/vegas-valley-angels,Vegas Valley Angels,,,,unknown,,series-c+,1/22/07,2007-01,2007-Q1,2007.0,250000.0,66921
"/company/animated-speech",Animated Speech,software,USA,CA,SF Bay,San Francisco,/financial-organization/sierra-angels,Sierra Angels,,USA,NV,Incline Village,Incline Village,series-c+,1/22/07,2007-01,2007-Q1,2007.0,250000.0,58248
"/company/alltrails-com",AllTrails,sports,USA,CA,SF Bay,San Francisco,/financial-organization/campventures,CampVentures,,USA,CA,SF Bay,Los Altos,venture,4/1/13,2013-04,2013-Q2,2013.0,250000.0,16768
"/company/ark",Ark,search,USA,CA,SF Bay,San Francisco,/person/ron-conway,Ron Conway,,,,unknown,,angel,11/1/11,2011-11,2011-Q4,2011.0,250000.0,81443
"/company/advice-wallet",Advice Wallet,mobile,USA,CA,SF Bay,San Francisco,/financial-organization/imperious-group,Imperious Group,,,,unknown,,angel,7/1/13,2013-07,2013-Q3,2013.0,300000.0,34941
"/company/auctomatic",Auctomatic,web,USA,CA,SF Bay,San Francisco,/person/chris-sacca,Chris Sacca,,,,unknown,,angel,1/1/07,2007-01,2007-Q1,2007.0,400000.0,72362
"/company/astrid",Astrid,social,USA,CA,SF Bay,San Francisco,/person/jack-herrick-2,Jack Herrick,,,,unknown,,angel,4/13/12,2012-04,2012-Q2,2012.0,400000.0,75529
"/company/astrid",Astrid,social,USA,CA,SF Bay,San Francisco,/financial-organization/google-ventures,Google Ventures,,USA,CA,SF Bay,Mountain View,angel,4/13/12,2012-04,2012-Q2,2012.0,400000.0,30547
"/company/audiodraft",Audiodraft,music,USA,CA,SF Bay,San Francisco,/financial-organization/promus-ventures,Promus Ventures,,USA,IL,Chicago,Chicago,venture,7/17/13,2013-07,2013-Q3,2013.0,400000.0,52937
"/company/alltrails-com",AllTrails,sports,USA,CA,SF Bay,San Francisco,/financial-organization/2020-ventures,2020 Ventures,,USA,CA,SF Bay,San Francisco,angel,11/13/11,2011-11,2011-Q4,2011.0,400000.0,6608
"/company/alltrails-com",AllTrails,sports,USA,CA,SF Bay,San Francisco,/financial-organization/500-startups,500 Startups,,USA,CA,SF Bay,Mountain View,angel,11/13/11,2011-11,2011-Q4,2011.0,400000.0,6946
"/company/audiodraft",Audiodraft,music,USA,CA,SF Bay,San Francisco,/financial-organization/500-startups,500 Startups,,USA,CA,SF Bay,Mountain View,venture,7/17/13,2013-07,2013-Q3,2013.0,400000.0,7129
"/company/astrid",Astrid,social,USA,CA,SF Bay,San Francisco,/company/angelpad,AngelPad,,USA,CA,SF Bay,San Francisco,angel,4/13/12,2012-04,2012-Q2,2012.0,400000.0,310
"/company/astrid",Astrid,social,USA,CA,SF Bay,San Francisco,/financial-organization/nexus-venture-partners,Nexus Venture Partners,,IND,,Mumbai,Mumbai,angel,4/13/12,2012-04,2012-Q2,2012.0,400000.0,47493
"/company/auctomatic",Auctomatic,web,USA,CA,SF Bay,San Francisco,/person/paul-buchheit,Paul Buchheit,,,,unknown,,angel,1/1/07,2007-01,2007-Q1,2007.0,400000.0,80062
"/company/adgrok",AdGrok,advertising,USA,CA,SF Bay,San Francisco,/person/ben-narasin,Ben Narasin,,,,unknown,,angel,3/7/11,2011-03,2011-Q1,2011.0,470000.0,71409
"/company/adgrok",AdGrok,advertising,USA,CA,SF Bay,San Francisco,/financial-organization/triplepoint-capital,TriplePoint Capital,,USA,CA,SF Bay,Menlo Park,angel,3/7/11,2011-03,2011-Q1,2011.0,470000.0,65282
"/company/adgrok",AdGrok,advertising,USA,CA,SF Bay,San Francisco,/person/chris-sacca,Chris Sacca,,,,unknown,,angel,3/7/11,2011-03,2011-Q1,2011.0,470000.0,72385
"/company/adgrok",AdGrok,advertising,USA,CA,SF Bay,San Francisco,/person/russell-siegelman,Russell Siegelman,,,,unknown,,angel,3/7/11,2011-03,2011-Q1,2011.0,470000.0,81588
"/company/attachments-me",Attachments.me,software,USA,CA,SF Bay,San Francisco,/financial-organization/foundry-group,Foundry Group,,USA,CO,Denver,Boulder,angel,3/2/11,2011-03,2011-Q1,2011.0,500000.0,28348
"/company/apture",Apture,web,USA,CA,SF Bay,San Francisco,/person/steve-taylor,Steve Taylor,,,,unknown,,angel,7/1/07,2007-07,2007-Q3,2007.0,500000.0,82550
"/company/apture",Apture,web,USA,CA,SF Bay,San Francisco,/person/paul-maritz,Paul Maritz,,,,unknown,,angel,7/1/07,2007-07,2007-Q3,2007.0,500000.0,80163
"/company/apture",Apture,web,USA,CA,SF Bay,San Francisco,/person/beau-vrolyk,Beau Vrolyk,,,,unknown,,angel,7/1/07,2007-07,2007-Q3,2007.0,500000.0,71322
"/company/asseta",Asseta,manufacturing,USA,CA,SF Bay,San Francisco,/financial-organization/beenos-partners,Beenos Partners,,,,unknown,,angel,2/3/14,2014-02,2014-Q1,2014.0,535000.0,14088
"/company/asseta",Asseta,manufacturing,USA,CA,SF Bay,San Francisco,/financial-organization/ace-and-company,ACE & Company,,CHE,,Geneva,Geneva,angel,2/3/14,2014-02,2014-Q1,2014.0,535000.0,8194
"/company/asseta",Asseta,manufacturing,USA,CA,SF Bay,San Francisco,/person/matt-huang-2,Matt Huang,,,,unknown,,angel,2/3/14,2014-02,2014-Q1,2014.0,535000.0,78603
"/company/appstores-com",Appstores.com,software,USA,CA,SF Bay,San Francisco,/person/alex-fries,Alex Fries,,,,unknown,,angel,8/1/11,2011-08,2011-Q3,2011.0,565000.0,70356
"/company/appstores-com",Appstores.com,software,USA,CA,SF Bay,San Francisco,/person/mark-kingdon,Mark Kingdon,,,,unknown,,angel,8/1/11,2011-08,2011-Q3,2011.0,565000.0,78358
"/company/appstores-com",Appstores.com,software,USA,CA,SF Bay,San Francisco,/person/greg-vrankovich,Greg Vrankovich,,,,unknown,,angel,8/1/11,2011-08,2011-Q3,2011.0,565000.0,75069
"/company/appstores-com",Appstores.com,software,USA,CA,SF Bay,San Francisco,/person/steve-bennet,Steve Bennet,,,,unknown,,angel,8/1/11,2011-08,2011-Q3,2011.0,565000.0,82453
"/company/appstores-com",Appstores.com,software,USA,CA,SF Bay,San Francisco,/financial-organization/transmedia-capital,Transmedia Capital,,USA,CA,SF Bay,San Francisco,angel,8/1/11,2011-08,2011-Q3,2011.0,565000.0,64751
"/company/appstores-com",Appstores.com,software,USA,CA,SF Bay,San Francisco,/person/anthony-soohoo,Anthony Soohoo,,,,unknown,,angel,8/1/11,2011-08,2011-Q3,2011.0,565000.0,71012
"/company/appstores-com",Appstores.com,software,USA,CA,SF Bay,San Francisco,/financial-organization/sand-hill-angels,Sand Hill Angels,,USA,CA,SF Bay,Sunnyvale,angel,8/1/11,2011-08,2011-Q3,2011.0,565000.0,55983
"/company/appstores-com",Appstores.com,software,USA,CA,SF Bay,San Francisco,/financial-organization/500-startups,500 Startups,,USA,CA,SF Bay,Mountain View,angel,8/1/11,2011-08,2011-Q3,2011.0,565000.0,6929
